episode,timestep,reward,length,score,pg_loss,v_loss
270,13954,8.40,86,1,-0.0037,0.1689
271,14004,3.90,50,0,-0.0037,0.1689
272,14133,13.60,129,2,-0.0037,0.1689
273,14199,6.40,66,1,-0.0037,0.1689
274,14265,6.40,66,1,-0.0037,0.1689
275,14315,3.90,50,0,-0.0037,0.1689
276,14365,3.90,50,0,-0.0027,0.3711
277,14419,4.30,54,0,-0.0027,0.3711
278,14469,3.90,50,0,-0.0027,0.3711
279,14566,9.50,97,2,-0.0027,0.3711
280,14616,3.90,50,0,-0.0027,0.3711
281,14666,3.90,50,0,-0.0027,0.3711
282,14716,3.90,50,0,-0.0027,0.3711
283,14783,6.50,67,1,-0.0027,0.3711
284,14842,4.80,59,0,-0.0027,0.3711
285,14892,3.90,50,0,-0.0027,0.3711
286,14954,6.00,62,1,-0.0027,0.3711
287,15004,3.90,50,0,-0.0027,0.3711
288,15071,6.50,67,1,-0.0027,0.3711
289,15121,3.90,50,0,-0.0027,0.3711
290,15171,3.90,50,0,-0.0027,0.3711
291,15234,6.10,63,1,-0.0027,0.3711
292,15294,4.90,60,0,-0.0027,0.3711
293,15361,6.50,67,1,-0.0027,0.3711
294,15411,3.90,50,0,-0.0027,0.3711
295,15461,3.90,50,0,-0.0027,0.3711
296,15547,8.40,86,1,-0.0027,0.3711
297,15597,3.90,50,0,-0.0027,0.3711
298,15683,8.40,86,1,-0.0027,0.3711
299,15733,3.90,50,0,-0.0027,0.3711
300,15783,3.90,50,0,-0.0027,0.3711
301,15842,4.80,59,0,-0.0027,0.3711
302,15892,3.90,50,0,-0.0027,0.3711
303,15947,4.40,55,0,-0.0027,0.3711
304,16006,4.80,59,0,-0.0027,0.3711
305,16076,6.80,70,1,-0.0027,0.3711
306,16126,3.90,50,0,-0.0027,0.3711
307,16176,3.90,50,0,-0.0027,0.3711
308,16238,6.00,62,1,-0.0027,0.3711
309,16288,3.90,50,0,-0.0027,0.3711
310,16344,4.50,56,0,-0.0027,0.3711
311,16394,3.90,50,0,-0.0032,0.3485
312,16448,4.30,54,0,-0.0032,0.3485
313,16498,3.90,50,0,-0.0032,0.3485
314,16584,8.40,86,1,-0.0032,0.3485
315,16645,5.00,61,1,-0.0032,0.3485
316,16695,3.90,50,0,-0.0032,0.3485
317,16745,3.90,50,0,-0.0032,0.3485
318,16802,4.60,57,0,-0.0032,0.3485
319,16852,3.90,50,0,-0.0032,0.3485
320,16938,8.40,86,1,-0.0032,0.3485
321,17001,6.10,63,1,-0.0032,0.3485
322,17087,8.40,86,1,-0.0032,0.3485
323,17137,3.90,50,0,-0.0032,0.3485
324,17189,4.10,52,0,-0.0032,0.3485
325,17239,3.90,50,0,-0.0032,0.3485
326,17293,4.30,54,0,-0.0032,0.3485
327,17361,6.60,68,1,-0.0032,0.3485
328,17411,3.90,50,0,-0.0032,0.3485
329,17497,8.40,86,1,-0.0032,0.3485
330,17547,3.90,50,0,-0.0032,0.3485
331,17611,6.20,64,1,-0.0032,0.3485
332,17668,4.60,57,0,-0.0032,0.3485
333,17729,5.00,61,1,-0.0032,0.3485
334,17781,4.10,52,0,-0.0032,0.3485
335,17867,8.40,86,1,-0.0032,0.3485
336,17931,6.20,64,1,-0.0032,0.3485
337,18033,10.90,102,2,-0.0032,0.3485
338,18096,6.10,63,1,-0.0032,0.3485
339,18146,3.90,50,0,-0.0032,0.3485
340,18207,5.00,61,1,-0.0032,0.3485
341,18260,4.20,53,0,-0.0032,0.3485
342,18310,3.90,50,0,-0.0032,0.3485
343,18360,3.90,50,0,-0.0032,0.3485
344,18423,6.10,63,1,-0.0032,0.3485
345,18586,17.90,163,3,-0.0024,0.4195
346,18638,4.10,52,0,-0.0024,0.4195
347,18736,10.50,98,2,-0.0024,0.4195
348,18788,4.10,52,0,-0.0024,0.4195
349,18855,6.50,67,1,-0.0024,0.4195
350,18919,6.20,64,1,-0.0024,0.4195
351,18969,3.90,50,0,-0.0024,0.4195
352,19074,11.20,105,2,-0.0024,0.4195
353,19125,4.00,51,0,-0.0024,0.4195
354,19176,4.00,51,0,-0.0024,0.4195
355,19226,3.90,50,0,-0.0024,0.4195
356,19312,8.40,86,1,-0.0024,0.4195
357,19368,4.50,56,0,-0.0024,0.4195
358,19418,3.90,50,0,-0.0024,0.4195
359,19484,6.40,66,1,-0.0024,0.4195
360,19547,6.10,63,1,-0.0024,0.4195
361,19598,4.00,51,0,-0.0024,0.4195
362,19692,9.20,94,1,-0.0024,0.4195
363,19744,4.10,52,0,-0.0024,0.4195
364,19810,6.40,66,1,-0.0024,0.4195
365,19860,3.90,50,0,-0.0024,0.4195
366,19946,8.40,86,1,-0.0024,0.4195
367,20032,8.40,86,1,-0.0024,0.4195
368,20082,3.90,50,0,-0.0024,0.4195
369,20132,3.90,50,0,-0.0024,0.4195
370,20182,3.90,50,0,-0.0024,0.4195
371,20268,8.40,86,1,-0.0024,0.4195
372,20361,9.10,93,1,-0.0024,0.4195
373,20421,4.90,60,0,-0.0024,0.4195
374,20484,6.10,63,1,-0.0013,0.6110
375,20541,4.60,57,0,-0.0013,0.6110
376,20591,3.90,50,0,-0.0013,0.6110
377,20677,8.40,86,1,-0.0013,0.6110
378,20799,12.90,122,2,-0.0013,0.6110
379,20850,4.00,51,0,-0.0013,0.6110
380,20952,10.90,102,2,-0.0013,0.6110
381,21046,9.20,94,1,-0.0013,0.6110
382,21096,3.90,50,0,-0.0013,0.6110
383,21146,3.90,50,0,-0.0013,0.6110
384,21206,4.90,60,0,-0.0013,0.6110
385,21256,3.90,50,0,-0.0013,0.6110
386,21322,6.40,66,1,-0.0013,0.6110
387,21413,8.90,91,1,-0.0013,0.6110
388,21463,3.90,50,0,-0.0013,0.6110
389,21515,4.10,52,0,-0.0013,0.6110
390,21565,3.90,50,0,-0.0013,0.6110
391,21705,15.60,140,3,-0.0013,0.6110
392,21768,6.10,63,1,-0.0013,0.6110
393,21818,3.90,50,0,-0.0013,0.6110
394,21881,6.10,63,1,-0.0013,0.6110
395,21931,3.90,50,0,-0.0013,0.6110
396,22033,10.90,102,2,-0.0013,0.6110
397,22083,3.90,50,0,-0.0013,0.6110
398,22134,4.00,51,0,-0.0013,0.6110
399,22192,4.70,58,0,-0.0013,0.6110
400,22247,4.40,55,0,-0.0013,0.6110
401,22298,4.00,51,0,-0.0013,0.6110
402,22366,6.60,68,1,-0.0013,0.6110
403,22428,6.00,62,1,-0.0013,0.6110
404,22514,8.40,86,1,-0.0013,0.6110
405,22578,6.20,64,1,-0.0046,0.7561
406,22629,4.00,51,0,-0.0046,0.7561
407,22691,6.00,62,1,-0.0046,0.7561
408,22752,5.00,61,1,-0.0046,0.7561
409,22809,4.60,57,0,-0.0046,0.7561
410,22860,4.00,51,0,-0.0046,0.7561
411,23023,17.90,163,3,-0.0046,0.7561
412,23109,8.40,86,1,-0.0046,0.7561
413,23195,8.40,86,1,-0.0046,0.7561
414,23252,4.60,57,0,-0.0046,0.7561
415,23302,3.90,50,0,-0.0046,0.7561
416,23371,6.70,69,1,-0.0046,0.7561
417,23421,3.90,50,0,-0.0046,0.7561
418,23543,12.90,122,2,-0.0046,0.7561
419,23640,9.50,97,2,-0.0046,0.7561
420,23699,4.80,59,0,-0.0046,0.7561
421,23764,6.30,65,1,-0.0046,0.7561
422,23814,3.90,50,0,-0.0046,0.7561
423,23864,3.90,50,0,-0.0046,0.7561
424,23916,4.10,52,0,-0.0046,0.7561
425,23967,4.00,51,0,-0.0046,0.7561
426,24032,6.30,65,1,-0.0046,0.7561
427,24084,4.10,52,0,-0.0046,0.7561
428,24134,3.90,50,0,-0.0046,0.7561
429,24221,8.50,87,1,-0.0046,0.7561
430,24284,6.10,63,1,-0.0046,0.7561
431,24334,3.90,50,0,-0.0046,0.7561
432,24420,8.40,86,1,-0.0046,0.7561
433,24487,6.50,67,1,-0.0046,0.7561
434,24548,5.00,61,1,-0.0046,0.7561
435,24602,4.30,54,0,-0.0029,0.8113
436,24671,6.70,69,1,-0.0029,0.8113
437,24738,6.50,67,1,-0.0029,0.8113
438,24789,4.00,51,0,-0.0029,0.8113
439,24875,8.40,86,1,-0.0029,0.8113
440,24945,6.80,70,1,-0.0029,0.8113
441,25006,5.00,61,1,-0.0029,0.8113
442,25056,3.90,50,0,-0.0029,0.8113
443,25106,3.90,50,0,-0.0029,0.8113
444,25162,4.50,56,0,-0.0029,0.8113
445,25248,8.40,86,1,-0.0029,0.8113
446,25298,3.90,50,0,-0.0029,0.8113
447,25394,9.40,96,1,-0.0029,0.8113
448,25480,8.40,86,1,-0.0029,0.8113
449,25571,8.90,91,1,-0.0029,0.8113
